imdb_id,collection_id,genre_id,runtime,release_year
tt0114709,10194.0,16.0,81.0,1995.0
tt0113228,119050.0,10749.0,101.0,1995.0
tt0113041,96871.0,35.0,106.0,1995.0
tt0113189,645.0,12.0,130.0,1995.0
tt0112453,117693.0,10751.0,78.0,1995.0
tt0112281,3167.0,80.0,90.0,1995.0
tt0113161,91698.0,35.0,105.0,1995.0
tt0112431,9435.0,14.0,89.0,1995.0
tt0113855,9818.0,28.0,101.0,1995.0
tt0114148,136214.0,12.0,81.0,1995.0
tt0116839,124935.0,28.0,92.0,1996.0
tt0113118,43563.0,35.0,91.0,1995.0
tt0116367,10924.0,27.0,108.0,1996.0
tt0114367,122017.0,27.0,108.0,1995.0
tt0117110,256377.0,28.0,100.0,1996.0
tt0110647,91430.0,14.0,95.0,1994.0
tt0112442,14890.0,28.0,118.0,1995.0
tt0112462,120794.0,28.0,121.0,1995.0
tt0112541,439053.0,35.0,83.0,1995.0
tt0112642,8819.0,14.0,100.0,1995.0
tt0112851,9649.0,53.0,104.0,1995.0
tt0112864,1570.0,28.0,128.0,1995.0
tt0112887,259398.0,28.0,80.0,1995.0
tt0113114,9328.0,12.0,95.0,1995.0
tt0113820,286162.0,28.0,92.0,1995.0
tt0113957,328073.0,80.0,114.0,1995.0
tt0114194,9068.0,14.0,98.0,1995.0
tt0114436,247294.0,18.0,128.0,1995.0
tt0114478,439053.0,35.0,112.0,1995.0
tt0114508,9887.0,878.0,108.0,1995.0
tt0114781,112399.0,28.0,100.0,1995.0
tt0111579,23170.0,18.0,135.0,1994.0
tt0112471,123800.0,18.0,105.0,1995.0
tt0109445,182813.0,35.0,92.0,1994.0
tt0109686,96665.0,35.0,107.0,1994.0
tt0113198,410261.0,10749.0,78.0,1995.0
tt0110148,217704.0,27.0,123.0,1994.0
tt0076759,10.0,12.0,121.0,1977.0
tt0113948,286948.0,878.0,83.0,1995.0
tt0110729,300546.0,18.0,99.0,1994.0
tt0114151,48188.0,18.0,106.0,1996.0
tt0111495,131.0,18.0,99.0,1994.0
tt0108394,131.0,18.0,98.0,1993.0
tt0111507,131.0,35.0,91.0,1994.0
tt0111333,144200.0,16.0,89.0,1994.0
tt0111070,53159.0,14.0,97.0,1994.0
tt0114608,115142.0,27.0,92.0,1995.0
tt0111280,115570.0,878.0,118.0,1994.0
tt0109040,3167.0,35.0,86.0,1994.0
tt0109444,192492.0,28.0,141.0,1994.0
tt0109506,9436.0,14.0,102.0,1994.0
tt0109813,351684.0,14.0,91.0,1994.0
tt0110357,94032.0,10751.0,89.0,1994.0
tt0111686,8581.0,27.0,112.0,1994.0
tt0110475,43072.0,10749.0,101.0,1994.0
tt0110622,37139.0,35.0,83.0,1994.0
tt0110989,167985.0,35.0,95.0,1994.0
tt0111257,43064.0,28.0,116.0,1994.0
tt0111438,170452.0,53.0,99.0,1994.0
tt0111301,261203.0,28.0,102.0,1994.0
tt0113043,439409.0,27.0,98.0,1995.0
tt0110027,8050.0,28.0,99.0,1994.0
tt0106220,11716.0,35.0,94.0,1993.0
tt0106292,162028.0,28.0,105.0,1993.0
tt0109254,85861.0,28.0,104.0,1994.0
tt0109439,150156.0,28.0,116.0,1994.0
tt0109729,252313.0,99.0,109.0,1994.0
tt0106965,9328.0,10751.0,112.0,1993.0
tt0106977,134011.0,12.0,130.0,1993.0
tt0107076,412680.0,28.0,97.0,1993.0
tt0107144,52988.0,28.0,86.0,1993.0
tt0110064,159600.0,35.0,100.0,1994.0
tt0107290,328.0,12.0,127.0,1993.0
tt0110657,8580.0,12.0,107.0,1994.0
tt0107978,5547.0,28.0,104.0,1993.0
tt0108071,462565.0,18.0,102.0,1993.0
tt0111143,105075.0,12.0,108.0,1994.0
tt0083658,422837.0,878.0,117.0,1982.0
tt0112572,224478.0,35.0,84.0,1995.0
tt0099785,9888.0,35.0,103.0,1990.0
tt0103639,86027.0,16.0,90.0,1992.0
tt0103064,528.0,28.0,137.0,1991.0
tt0096895,120794.0,14.0,126.0,1989.0
tt0102926,9743.0,80.0,119.0,1991.0
tt0101414,153010.0,10749.0,84.0,1991.0
tt0112625,98580.0,27.0,93.0,1995.0
tt0116552,43058.0,12.0,89.0,1996.0
tt0082509,141086.0,16.0,90.0,1981.0
tt0116514,8917.0,27.0,86.0,1996.0
tt0115509,140910.0,10749.0,82.0,1996.0
tt0117060,87359.0,12.0,110.0,1996.0
tt0116136,169452.0,14.0,103.0,1996.0
tt0112536,36694.0,28.0,90.0,1996.0
tt0048473,158391.0,18.0,125.0,1955.0
tt0052572,158391.0,18.0,117.0,1959.0
tt0058898,144146.0,18.0,100.0,1965.0
tt0117774,143766.0,28.0,114.0,1996.0
tt0108500,52888.0,14.0,107.0,1993.0
tt0113568,23026.0,28.0,83.0,1995.0
tt0112691,529.0,10751.0,30.0,1995.0
tt0115571,116661.0,28.0,115.0,1996.0
tt0070820,303969.0,18.0,85.0,1973.0
tt0117951,424202.0,18.0,93.0,1996.0
tt0116629,304378.0,28.0,145.0,1996.0
tt0116583,97456.0,18.0,91.0,1996.0
tt0117218,86028.0,14.0,95.0,1996.0
tt0118073,224478.0,35.0,90.0,1996.0
tt0115986,9436.0,28.0,84.0,1996.0
tt0117826,115142.0,27.0,87.0,1996.0
tt0116225,115838.0,28.0,97.0,1996.0
tt0068646,230.0,18.0,175.0,1972.0
tt0104558,269098.0,28.0,95.0,1992.0
tt0106544,269098.0,28.0,104.0,1993.0
tt0113596,19163.0,16.0,71.0,1995.0
tt0113253,91361.0,27.0,88.0,1995.0
tt0062622,4438.0,878.0,149.0,1968.0
tt0025878,47814.0,35.0,93.0,1934.0
tt0063350,261590.0,27.0,96.0,1968.0
tt0093229,242765.0,28.0,93.0,1985.0
tt0116000,10709.0,28.0,104.0,1996.0
tt0072653,87232.0,35.0,100.0,1975.0
tt0047977,181496.0,28.0,93.0,1955.0
tt0072951,90348.0,12.0,97.0,1975.0
tt0064603,12087.0,35.0,107.0,1968.0
tt0071607,12087.0,10749.0,88.0,1974.0
tt0055277,216395.0,35.0,129.0,1961.0
tt0107131,43058.0,12.0,84.0,1993.0
tt0053271,294519.0,35.0,104.0,1959.0
tt0042332,55419.0,10751.0,74.0,1950.0
tt0038166,271668.0,16.0,71.0,1944.0
tt0082406,100970.0,12.0,82.0,1981.0
tt0116361,355490.0,35.0,110.0,1996.0
tt0095016,1570.0,28.0,131.0,1988.0
tt0104692,124935.0,27.0,108.0,1992.0
tt0115491,86027.0,12.0,81.0,1996.0
tt0092890,86058.0,18.0,100.0,1987.0
tt0098627,118221.0,35.0,97.0,1989.0
tt0103772,86336.0,53.0,127.0,1992.0
tt0115885,115225.0,27.0,85.0,1996.0
tt0072081,937.0,9648.0,113.0,1975.0
tt0082340,115838.0,878.0,99.0,1981.0
tt0082533,174218.0,18.0,91.0,1981.0
tt0091288,39460.0,18.0,120.0,1986.0
tt0091480,39460.0,18.0,120.0,1986.0
tt0108598,529.0,16.0,30.0,1993.0
tt0112483,153948.0,28.0,90.0,1995.0
tt0078446,33071.0,35.0,86.0,1978.0
tt0080684,10.0,12.0,124.0,1980.0
tt0082971,84.0,12.0,115.0,1981.0
tt0090605,8091.0,27.0,137.0,1986.0
tt0060196,48317.0,37.0,161.0,1966.0
tt0086190,10.0,12.0,135.0,1983.0
tt0078748,8091.0,27.0,117.0,1979.0
tt0106308,1960.0,14.0,81.0,1992.0
tt0054215,119674.0,18.0,109.0,1960.0
tt0080455,112636.0,10402.0,133.0,1980.0
tt0071562,230.0,18.0,200.0,1974.0
tt0104361,529.0,12.0,23.0,1990.0
tt0070735,330605.0,35.0,129.0,1973.0
tt0088247,528.0,28.0,108.0,1984.0
tt0071315,359005.0,80.0,130.0,1974.0
tt0092991,1960.0,27.0,84.0,1987.0
tt0088763,264.0,12.0,116.0,1985.0
tt0091203,8050.0,12.0,116.0,1986.0
tt0032455,55427.0,16.0,124.0,1940.0
tt0085809,173344.0,99.0,87.0,1982.0
tt0097576,84.0,12.0,127.0,1989.0
tt0103644,8091.0,878.0,114.0,1992.0
tt0103678,397842.0,27.0,91.0,1992.0
tt0085159,397842.0,27.0,105.0,1983.0
tt0115535,397842.0,27.0,93.0,1996.0
tt0106262,397842.0,27.0,90.0,1993.0
tt0083550,397842.0,27.0,104.0,1982.0
tt0078767,397842.0,18.0,117.0,1979.0
tt0099030,397842.0,27.0,91.0,1989.0
tt0051418,422193.0,27.0,86.0,1958.0
tt0026138,218406.0,27.0,75.0,1935.0
tt0103919,98580.0,18.0,99.0,1992.0
tt0074285,257053.0,27.0,98.0,1976.0
tt0087800,8581.0,27.0,91.0,1984.0
tt0075005,10919.0,27.0,111.0,1976.0
tt0115751,498.0,18.0,159.0,1996.0
tt0117731,115570.0,878.0,111.0,1996.0
tt0116705,307637.0,10751.0,89.0,1996.0
tt0117293,105629.0,99.0,150.0,1996.0
tt0115433,124916.0,35.0,103.0,1996.0
tt0099423,1570.0,28.0,124.0,1990.0
tt0079945,151.0,878.0,132.0,1979.0
tt0102975,151.0,878.0,113.0,1991.0
tt0098382,151.0,878.0,107.0,1989.0
tt0084726,151.0,28.0,113.0,1982.0
tt0088170,151.0,878.0,105.0,1984.0
tt0092007,151.0,878.0,119.0,1986.0
tt0103776,120794.0,28.0,126.0,1992.0
tt0096487,9329.0,80.0,107.0,1988.0
tt0100994,9329.0,37.0,132.0,1990.0
tt0077631,86083.0,10749.0,110.0,1978.0
tt0084021,86083.0,35.0,115.0,1982.0
tt0105690,112399.0,28.0,103.0,1992.0
tt0073195,2366.0,27.0,124.0,1975.0
tt0077766,2366.0,27.0,116.0,1978.0
tt0085750,2366.0,53.0,99.0,1983.0
tt0117571,2602.0,80.0,111.0,1996.0
tt0120390,166379.0,28.0,100.0,1997.0
tt0116704,269098.0,28.0,107.0,1996.0
tt0119640,393564.0,28.0,108.0,1997.0
tt0120434,108693.0,35.0,93.0,1997.0
tt0120053,86224.0,53.0,116.0,1997.0
tt0118064,207952.0,35.0,100.0,1996.0
tt0120389,286162.0,28.0,99.0,1997.0
tt0118615,105995.0,12.0,89.0,1997.0
tt0118655,1006.0,878.0,94.0,1997.0
tt0120479,174407.0,14.0,103.0,1997.0
tt0119809,259398.0,878.0,82.0,1997.0
tt0119567,328.0,12.0,129.0,1997.0
tt0120118,331475.0,18.0,93.0,1996.0
tt0120179,43064.0,28.0,121.0,1997.0
tt0118688,120794.0,28.0,125.0,1997.0
tt0105569,182923.0,878.0,83.0,1992.0
tt0119654,86055.0,28.0,98.0,1997.0
tt0082198,43055.0,12.0,129.0,1982.0
tt0119190,126221.0,12.0,92.0,1997.0
tt0118570,97445.0,35.0,98.0,1997.0
tt0119152,9328.0,12.0,86.0,1997.0
tt0119675,10721.0,14.0,105.0,1997.0
tt0099810,192492.0,28.0,134.0,1990.0
tt0119468,142680.0,18.0,115.0,1997.0
tt0120524,135489.0,27.0,90.0,1997.0
tt0119345,3601.0,27.0,100.0,1997.0
tt0118689,103372.0,35.0,85.0,1997.0
tt0120201,10522.0,12.0,129.0,1997.0
tt0119707,9818.0,28.0,95.0,1997.0
tt0118583,8091.0,878.0,109.0,1997.0
tt0118764,372479.0,35.0,107.0,1997.0
tt0119303,9888.0,35.0,102.0,1997.0
tt0120082,2602.0,27.0,120.0,1997.0
tt0120347,645.0,12.0,119.0,1997.0
tt0119925,351886.0,18.0,177.0,1997.0
tt0118539,71458.0,28.0,93.0,1998.0
tt0118643,9068.0,14.0,87.0,1998.0
tt0118747,112636.0,10402.0,123.0,1998.0
tt0120873,134011.0,53.0,131.0,1998.0
tt0120890,33059.0,53.0,108.0,1998.0
tt0120598,350402.0,10751.0,76.0,1998.0
tt0120773,221966.0,12.0,97.0,1998.0
tt0120841,9887.0,878.0,93.0,1998.0
tt0120742,97771.0,35.0,107.0,1998.0
tt0122529,378453.0,35.0,137.0,1997.0
tt0120762,87236.0,16.0,88.0,1998.0
tt0120902,19387.0,9648.0,121.0,1998.0
tt0118998,3169.0,35.0,85.0,1998.0
tt0122151,945.0,28.0,127.0,1998.0
tt0067116,155474.0,28.0,104.0,1971.0
tt0075148,1575.0,18.0,119.0,1976.0
tt0089686,8581.0,27.0,87.0,1985.0
tt0093629,8581.0,27.0,96.0,1987.0
tt0095742,8581.0,27.0,99.0,1988.0
tt0097981,8581.0,27.0,89.0,1989.0
tt0101917,8581.0,27.0,89.0,1991.0
tt0080761,9735.0,27.0,95.0,1980.0
tt0082418,9735.0,27.0,87.0,1981.0
tt0083972,9735.0,27.0,95.0,1982.0
tt0087298,9735.0,27.0,91.0,1984.0
tt0089173,9735.0,27.0,92.0,1985.0
tt0091080,9735.0,27.0,86.0,1986.0
tt0095179,9735.0,27.0,88.0,1988.0
tt0097388,9735.0,27.0,100.0,1989.0
tt0077651,91361.0,27.0,91.0,1978.0
tt0082495,91361.0,27.0,92.0,1981.0
tt0085636,91361.0,27.0,98.0,1982.0
tt0095271,91361.0,27.0,88.0,1988.0
tt0097474,91361.0,27.0,96.0,1989.0
tt0081383,123255.0,27.0,92.0,1980.0
tt0093176,123255.0,27.0,97.0,1987.0
tt0098136,123255.0,53.0,97.0,1990.0
tt0105179,123255.0,27.0,92.0,1992.0
tt0094862,10455.0,27.0,87.0,1988.0
tt0099253,10455.0,18.0,84.0,1990.0
tt0103956,10455.0,53.0,90.0,1991.0
tt0084516,10453.0,27.0,114.0,1982.0
tt0091778,10453.0,27.0,91.0,1986.0
tt0095889,10453.0,27.0,98.0,1988.0
tt0070047,12263.0,18.0,122.0,1973.0
tt0076009,12263.0,27.0,118.0,1977.0
tt0099528,12263.0,53.0,110.0,1990.0
tt0093409,945.0,12.0,110.0,1987.0
tt0097733,945.0,28.0,114.0,1989.0
tt0104714,945.0,12.0,118.0,1992.0
tt0087363,89151.0,14.0,106.0,1984.0
tt0099700,89151.0,35.0,106.0,1990.0
tt0120746,1657.0,28.0,136.0,1998.0
tt0096874,264.0,12.0,108.0,1989.0
tt0099088,264.0,12.0,118.0,1990.0
tt0069113,372257.0,28.0,117.0,1972.0
tt0054594,294468.0,35.0,96.0,1961.0
tt0078790,87232.0,35.0,88.0,1979.0
tt0034492,87250.0,16.0,70.0,1942.0
tt0099674,230.0,80.0,162.0,1990.0
tt0065566,297143.0,35.0,91.0,1969.0
tt0109520,10709.0,28.0,106.0,1994.0
tt0080861,12087.0,14.0,110.0,1980.0
tt0076137,12087.0,10749.0,105.0,1977.0
tt0104437,72119.0,12.0,89.0,1992.0
tt0097523,72119.0,12.0,93.0,1989.0
tt0061852,97459.0,10751.0,78.0,1967.0
tt0048280,97460.0,10751.0,76.0,1955.0
tt0097757,33085.0,16.0,83.0,1989.0
tt0104868,10709.0,35.0,101.0,1992.0
tt0104940,256377.0,35.0,85.0,1992.0
tt0055254,100693.0,12.0,79.0,1961.0
tt0046183,55422.0,16.0,77.0,1953.0
tt0100477,57971.0,12.0,77.0,1990.0
tt0076618,57971.0,14.0,78.0,1977.0
tt0078158,90348.0,12.0,95.0,1978.0
tt0107952,86027.0,10751.0,69.0,1994.0
tt0075200,294519.0,35.0,91.0,1976.0
tt0057518,294468.0,35.0,100.0,1963.0
tt0088161,248126.0,35.0,111.0,1984.0
tt0084827,63043.0,878.0,96.0,1982.0
tt0120694,91361.0,27.0,86.0,1998.0
tt0087469,84.0,12.0,118.0,1984.0
tt0077869,141290.0,14.0,132.0,1978.0
tt0087050,115225.0,18.0,93.0,1984.0
tt0096787,140910.0,18.0,89.0,1989.0
tt0101272,11716.0,27.0,99.0,1991.0
tt0070016,263193.0,16.0,94.0,1973.0
tt0084649,141292.0,14.0,82.0,1982.0
tt0090633,8783.0,18.0,80.0,1986.0
tt0101329,8783.0,12.0,75.0,1991.0
tt0091223,102782.0,35.0,93.0,1986.0
tt0093220,102782.0,14.0,88.0,1987.0
tt0080801,87805.0,28.0,109.0,1980.0
tt0097443,87805.0,28.0,98.0,1989.0
tt0140796,97445.0,35.0,90.0,1998.0
tt0116516,143755.0,80.0,84.0,1996.0
tt0099763,143755.0,80.0,83.0,1986.0
tt0063522,264338.0,27.0,136.0,1968.0
tt0088323,91430.0,18.0,102.0,1984.0
tt0100240,91430.0,18.0,89.0,1990.0
tt0080391,47983.0,35.0,87.0,1978.0
tt0120611,735.0,27.0,120.0,1998.0
tt0123755,432.0,53.0,90.0,1997.0
tt0120812,90863.0,28.0,98.0,1998.0
tt0146336,52760.0,27.0,99.0,1998.0
tt0084787,479888.0,27.0,109.0,1982.0
tt0086837,4438.0,53.0,116.0,1984.0
tt0144120,10455.0,27.0,89.0,1998.0
tt0120877,348843.0,28.0,108.0,1998.0
tt0127536,100286.0,18.0,124.0,1998.0
tt0130018,3601.0,27.0,100.0,1998.0
tt0073747,374384.0,27.0,117.0,1975.0
tt0134067,57129.0,16.0,79.0,1998.0
tt0047034,374509.0,53.0,96.0,1954.0
tt0087344,374511.0,28.0,87.0,1984.0
tt0056142,374509.0,28.0,98.0,1962.0
tt0024216,135495.0,28.0,100.0,1933.0
tt0074751,135498.0,12.0,134.0,1976.0
tt0091344,135498.0,28.0,105.0,1986.0
tt0089155,104833.0,35.0,98.0,1985.0
tt0097366,104833.0,35.0,95.0,1989.0
tt0089893,43055.0,12.0,89.0,1985.0
tt0090264,645.0,12.0,131.0,1985.0
